"species","study.doi","year.of.publication","group","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length"
"Fagus sylvatica","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00110765192726956,0,40,4,21,0,0,1,22
"Fagus sylvatica","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00249095763141016,1,40,4,21,0,0,1,22
"Fagus sylvatica","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",5.81879693866924e-05,0,40,4,21,0,0,1,22
"Fagus sylvatica","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",0.000105458289504352,1,40,4,21,0,0,1,22
"Fagus sylvatica","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00110765192726956,0,40,4,21,0,0,1,22
"Fagus sylvatica","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",0.000105458289504352,1,40,4,21,0,0,1,22
"Fagus sylvatica","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",5.81878868128182e-05,0,40,4,21,0,0,1,22
"Fagus sylvatica","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00110765192726956,0,40,4,21,0,0,1,22
"Fagus sylvatica","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",5.81878868128182e-05,0,40,4,21,0,0,1,22
"Fagus sylvatica","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",0.000105458289504352,1,40,4,21,0,0,1,22
"Fagus sylvatica","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00249095763141016,1,40,4,21,0,0,1,22
"Fagus sylvatica","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00110765192726956,0,40,4,21,0,0,1,22
"Fagus sylvatica","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00249095763141016,1,40,4,21,0,0,1,22
"Fagus sylvatica","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",5.81878868128182e-05,0,40,4,21,0,0,1,22
"Fagus sylvatica","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",0.000105458289504352,1,40,4,21,0,0,1,22
"Fagus sylvatica","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",5.81878868128182e-05,0,40,4,21,0,0,1,22
"Fagus sylvatica","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00249095763141016,1,40,4,21,0,0,1,22
"Fagus sylvatica","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00110765192726956,0,40,4,21,0,0,1,22
"Fagus sylvatica","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00249095763141016,1,40,4,21,0,0,1,22
"Fagus sylvatica","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",0.000105458289504352,1,40,4,21,0,0,1,22
"Pinus halepensis","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.0072119857813951,1,5,4,21,0,0,1,22
"Pinus halepensis","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",0.000140695238834988,1,5,4,21,0,0,1,22
"Pinus halepensis","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",0.00019632599499342,0,5,4,21,0,0,1,22
"Pinus halepensis","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.0072119857813951,1,5,4,21,0,0,1,22
"Pinus halepensis","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",0.000140695238834988,1,5,4,21,0,0,1,22
"Pinus halepensis","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",0.000140695238834988,1,5,4,21,0,0,1,22
"Pinus halepensis","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.0072119857813951,1,5,4,21,0,0,1,22
"Pinus halepensis","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.0072119857813951,1,5,4,21,0,0,1,22
"Pinus halepensis","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00462765145956657,0,5,4,21,0,0,1,22
"Pinus halepensis","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.0072119857813951,1,5,4,21,0,0,1,22
"Pinus halepensis","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",0.000140695238834988,1,5,4,21,0,0,1,22
"Pinus halepensis","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",0.000140695238834988,1,5,4,21,0,0,1,22
"Pinus halepensis","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",0.00019632599499342,0,5,4,21,0,0,1,22
"Pinus halepensis","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00462765145956657,0,5,4,21,0,0,1,22
"Pinus halepensis","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00462765145956657,0,5,4,21,0,0,1,22
"Pinus halepensis","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",0.000196326039870744,0,5,4,21,0,0,1,22
"Pinus halepensis","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00462765145956657,0,5,4,21,0,0,1,22
"Pinus halepensis","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",0.00019632599499342,0,5,4,21,0,0,1,22
"Pinus halepensis","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",0.00019632599499342,0,5,4,21,0,0,1,22
"Pinus halepensis","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00462765145956657,0,5,4,21,0,0,1,22
"Pinus nigra","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00713929637999566,1,27.5,4,21,0,0,1,22
"Pinus nigra","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",0.00017832125899618,1,27.5,4,21,0,0,1,22
"Pinus nigra","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",9.98058981112231e-05,0,27.5,4,21,0,0,1,22
"Pinus nigra","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",0.00017832125899618,1,27.5,4,21,0,0,1,22
"Pinus nigra","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00713929637999566,1,27.5,4,21,0,0,1,22
"Pinus nigra","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",0.00017832125899618,1,27.5,4,21,0,0,1,22
"Pinus nigra","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00713929637999566,1,27.5,4,21,0,0,1,22
"Pinus nigra","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",0.00017832125899618,1,27.5,4,21,0,0,1,22
"Pinus nigra","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",0.00017832125899618,1,27.5,4,21,0,0,1,22
"Pinus nigra","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00713929637999566,1,27.5,4,21,0,0,1,22
"Pinus nigra","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00857262261289642,0,27.5,4,21,0,0,1,22
"Pinus nigra","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",9.98058981112231e-05,0,27.5,4,21,0,0,1,22
"Pinus nigra","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",9.98060135277427e-05,0,27.5,4,21,0,0,1,22
"Pinus nigra","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00713929637999566,1,27.5,4,21,0,0,1,22
"Pinus nigra","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00857262261289642,0,27.5,4,21,0,0,1,22
"Pinus nigra","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",9.98058981112231e-05,0,27.5,4,21,0,0,1,22
"Pinus nigra","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00857262261289642,0,27.5,4,21,0,0,1,22
"Pinus nigra","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00857262261289642,0,27.5,4,21,0,0,1,22
"Pinus nigra","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00857262261289642,0,27.5,4,21,0,0,1,22
"Pinus nigra","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",9.98058981112231e-05,0,27.5,4,21,0,0,1,22
"Pinus pinaster","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00910351076393858,0,12.5,4,21,0,0,1,22
"Pinus pinaster","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.00910351076393858,0,12.5,4,21,0,0,1,22
"Pinus pinaster","10.1093/jpe/rtw081",2016,"Plants","Europe","Temperature","C","all","all",0.028109180662215,1,12.5,4,21,0,0,1,22
"Pinus pinaster","10.1093/jpe/rtw081",2016,"Plants","Europe","Precipitation","C","all","all",3.12013621236836e-05,1,12.5,4,21,0,0,1,22
